Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
155,-1292.9624279175973,0,0,1.0,-524.5266324035832,0.0,0.0,1.0
156,-125.37237860755448,0,0,1.0,-564.6792951107548,0.0,0.0,1.0
157,1197.225641597865,0,0,1.0,-391.5952691264282,0.0,0.0,1.0
158,-409.24078981514606,0,0,1.0,-300.2239900777446,0.0,0.0,1.0
159,-1314.863590602544,0,0,1.0,-487.42572035164324,0.0,0.0,1.0
160,-3778.8831415735262,0,0,1.0,-1028.0677628943945,0.0,0.0,1.0
161,-1974.0594840077067,0,0,1.0,-783.6152604558547,0.0,0.0,1.0
162,-2505.32071901267,0,0,1.0,-1066.942133255681,0.0,0.0,1.0
163,-2598.1106836497515,0,0,1.0,-1356.7639556896427,0.0,0.0,1.0
164,-1863.7078893685082,0,0,1.0,-1466.529546295714,0.0,0.0,1.0
165,1081.6199607458636,0,0,1.0,-1229.071307429368,0.0,0.0,1.0
166,-1054.4371505086328,0,0,1.0,-1321.9777846194756,0.0,0.0,1.0
167,-2465.631748088965,0,0,1.0,-1688.263523588159,0.0,0.0,1.0
168,-1875.5624734854614,0,0,1.0,-1834.8956919551904,0.0,0.0,1.0
169,-2243.0889763005625,0,0,1.0,-1927.7182305249921,0.0,0.0,1.0
170,1486.783353123816,0,0,1.0,-1401.1515810552578,0.0,0.0,1.0
171,-718.9273613401409,0,0,1.0,-1275.6383687885013,0.0,0.0,1.0
172,372.7118052220808,0,0,1.0,-987.8351163650261,0.0,0.0,1.0
173,-2809.1861703850254,0,0,1.0,-1008.9426650385536,0.0,0.0,1.0
174,327.59483436368373,0,0,1.0,-789.8123926653344,0.0,0.0,1.0
175,-943.4089344804557,0,0,1.0,-992.3152821879663,0.0,0.0,1.0
176,-1735.979447056751,0,0,1.0,-1060.4695118427783,0.0,0.0,1.0
177,-1344.5876470753974,0,0,1.0,-948.3651017414213,0.0,0.0,1.0
178,516.1735386481503,0,0,1.0,-709.1915005280601,0.0,0.0,1.0
179,-987.7072926120109,0,0,1.0,-583.6533321592051,0.0,0.0,1.0
180,-1534.9244423229768,0,0,1.0,-885.8241117038845,0.0,0.0,1.0
181,-1112.938513886653,0,0,1.0,-925.2252269585355,0.0,0.0,1.0
182,-2468.857778672001,0,0,1.0,-1209.3821853479435,0.0,0.0,1.0
183,-2171.74598078294,0,0,1.0,-1145.6381663877353,0.0,0.0,1.0
184,-929.1790917065116,0,0,1.0,-1271.3155589947548,0.0,0.0,1.0
185,-764.2665184918301,0,0,1.0,-1253.4013173958924,0.0,0.0,1.0
186,289.68018229601563,0,0,1.0,-1050.8353544606155,0.0,0.0,1.0
187,-585.2467858458011,0,0,1.0,-974.9012683376559,0.0,0.0,1.0
188,-180.4362306764642,0,0,1.0,-1044.5622452701173,0.0,0.0,1.0
189,-2636.3944575654978,0,0,1.0,-1209.430961765466,0.0,0.0,1.0
190,-225.2148349334992,0,0,1.0,-1078.4600010265183,0.0,0.0,1.0
191,-3448.628037184315,0,0,1.0,-1312.0289533562843,0.0,0.0,1.0
192,187.24173160444116,0,0,1.0,-1046.4190023286403,0.0,0.0,1.0
193,-785.3886952054735,0,0,1.0,-907.7832737708935,0.0,0.0,1.0
194,-3493.6536797562003,0,0,1.0,-1164.2307325758625,0.0,0.0,1.0
195,1489.7684567807785,0,0,1.0,-938.8272350486016,0.0,0.0,1.0
196,772.0344378904742,0,0,1.0,-890.5918094891558,0.0,0.0,1.0
197,1157.670901443513,0,0,1.0,-716.3000407602243,0.0,0.0,1.0
