Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
82,-7704.956866544315,0,0,1.0,-8684.555759096833,0.0,0.0,1.0
83,-8058.9495938013515,0,0,1.0,-8697.70009523565,0.0,0.0,1.0
84,-9034.365410665841,0,0,1.0,-8779.32475091474,0.0,0.0,1.0
85,-10508.297128159762,0,0,1.0,-8706.401919012822,0.0,0.0,1.0
86,-8606.558677437908,0,0,1.0,-8631.65399704605,0.0,0.0,1.0
87,-11866.4060134897,0,0,1.0,-8980.700508845468,0.0,0.0,1.0
88,-6613.812452248722,0,0,1.0,-8687.850335903042,0.0,0.0,1.0
89,-10475.045602728764,0,0,1.0,-8839.354577781978,0.0,0.0,1.0
90,-8842.177978969738,0,0,1.0,-8927.319112813298,0.0,0.0,1.0
91,-10245.603002418384,0,0,1.0,-9195.617272646448,0.0,0.0,1.0
92,-8079.909818399142,0,0,1.0,-9233.112567831931,0.0,0.0,1.0
93,-9380.96076384767,0,0,1.0,-9365.313684836565,0.0,0.0,1.0
94,-6604.088258580776,0,0,1.0,-9122.285969628058,0.0,0.0,1.0
95,-11935.060618767875,0,0,1.0,-9264.962318688868,0.0,0.0,1.0
96,-7819.813427600105,0,0,1.0,-9186.287793705089,0.0,0.0,1.0
97,-6260.5052418164605,0,0,1.0,-8625.697716537765,0.0,0.0,1.0
98,-9421.793599090663,0,0,1.0,-8906.495831221957,0.0,0.0,1.0
99,-9256.132765591523,0,0,1.0,-8784.604547508232,0.0,0.0,1.0
100,-8389.793690182449,0,0,1.0,-8739.366118629503,0.0,0.0,1.0
101,-7980.404530255476,0,0,1.0,-8512.846271413213,0.0,0.0,1.0
102,-8432.091527266404,0,0,1.0,-8548.064442299938,0.0,0.0,1.0
103,-7986.308183224816,0,0,1.0,-8408.599184237653,0.0,0.0,1.0
104,-10297.288393294282,0,0,1.0,-8777.919197709005,0.0,0.0,1.0
105,-10967.604458817415,0,0,1.0,-8681.17358171396,0.0,0.0,1.0
106,-10993.910345293783,0,0,1.0,-8998.583273483328,0.0,0.0,1.0
107,-7513.421926924444,0,0,1.0,-9123.874941994127,0.0,0.0,1.0
108,-8368.61168479253,0,0,1.0,-9018.556750564314,0.0,0.0,1.0
109,-10042.554559684673,0,0,1.0,-9097.198929973627,0.0,0.0,1.0
110,-9357.366883111019,0,0,1.0,-9193.956249266485,0.0,0.0,1.0
111,-9753.483515051621,0,0,1.0,-9371.264147746098,0.0,0.0,1.0
112,-9474.744651920639,0,0,1.0,-9475.529460211521,0.0,0.0,1.0
113,-8374.271973597944,0,0,1.0,-9514.325839248835,0.0,0.0,1.0
114,-9989.075653567095,0,0,1.0,-9483.504565276116,0.0,0.0,1.0
115,-9505.923626627022,0,0,1.0,-9337.336482057077,0.0,0.0,1.0
116,-6523.8452097208465,0,0,1.0,-8890.329968499784,0.0,0.0,1.0
117,-10561.834851670981,0,0,1.0,-9195.171260974439,0.0,0.0,1.0
118,-7317.467962327931,0,0,1.0,-9090.056888727977,0.0,0.0,1.0
119,-5966.595694581341,0,0,1.0,-8682.461002217644,0.0,0.0,1.0
120,-9402.043603064094,0,0,1.0,-8686.928674212952,0.0,0.0,1.0
121,-6885.111127535662,0,0,1.0,-8400.091435461356,0.0,0.0,1.0
122,-8907.518202271647,0,0,1.0,-8343.368790496457,0.0,0.0,1.0
123,-6638.691528857281,0,0,1.0,-8169.810746022389,0.0,0.0,1.0
124,-7360.624923342577,0,0,1.0,-7906.965672999938,0.0,0.0,1.0
125,-9583.36527526501,0,0,1.0,-7914.7098378637365,0.0,0.0,1.0
126,-8849.004141521773,0,0,1.0,-8147.225731043831,0.0,0.0,1.0
127,-10033.688268034231,0,0,1.0,-8094.411072680154,0.0,0.0,1.0
128,-6533.723209276451,0,0,1.0,-8016.036597375007,0.0,0.0,1.0
129,-9329.589595557542,0,0,1.0,-8352.335987472627,0.0,0.0,1.0
130,-8433.368733573408,0,0,1.0,-8255.468500523559,0.0,0.0,1.0
131,-7147.6457423397615,0,0,1.0,-8281.721962003969,0.0,0.0,1.0
132,-10280.575465608794,0,0,1.0,-8419.027688337683,0.0,0.0,1.0
133,-9609.81024118406,0,0,1.0,-8716.13955957036,0.0,0.0,1.0
134,-10019.476626495893,0,0,1.0,-8982.02472988569,0.0,0.0,1.0
135,-9441.398629122308,0,0,1.0,-8967.828065271422,0.0,0.0,1.0
136,-9223.77664693978,0,0,1.0,-9005.305315813222,0.0,0.0,1.0
137,-9281.902801986784,0,0,1.0,-8930.126769208477,0.0,0.0,1.0
138,-10910.502052389218,0,0,1.0,-9367.804653519754,0.0,0.0,1.0
139,-8975.685540126866,0,0,1.0,-9332.414247976687,0.0,0.0,1.0
140,-7997.836761664899,0,0,1.0,-9288.861050785836,0.0,0.0,1.0
141,-7801.412744274311,0,0,1.0,-9354.23775097929,0.0,0.0,1.0
142,-9443.783619324699,0,0,1.0,-9270.558566350883,0.0,0.0,1.0
143,-8810.02114942951,0,0,1.0,-9190.579657175425,0.0,0.0,1.0
144,-6074.121252395737,0,0,1.0,-8796.04411976541,0.0,0.0,1.0
145,-9937.574420414294,0,0,1.0,-8845.66169889461,0.0,0.0,1.0
146,-7626.363416433424,0,0,1.0,-8685.920375843974,0.0,0.0,1.0
147,-8916.245699948571,0,0,1.0,-8649.354665640154,0.0,0.0,1.0
148,-8766.245840111349,0,0,1.0,-8434.929044412367,0.0,0.0,1.0
149,-8374.465071473953,0,0,1.0,-8374.806997547075,0.0,0.0,1.0
150,-7639.001690083761,0,0,1.0,-8338.923490388963,0.0,0.0,1.0
151,-11098.970132462964,0,0,1.0,-8668.679229207826,0.0,0.0,1.0
152,-10304.868141817544,0,0,1.0,-8754.78768145711,0.0,0.0,1.0
153,-9459.980835033195,0,0,1.0,-8819.78365001748,0.0,0.0,1.0
154,-9192.086427494307,0,0,1.0,-9131.580167527336,0.0,0.0,1.0
155,-7307.9605082440485,0,0,1.0,-8868.618776310312,0.0,0.0,1.0
156,-9183.372002317337,0,0,1.0,-9024.319634898704,0.0,0.0,1.0
157,-10721.073203559365,0,0,1.0,-9204.802385259783,0.0,0.0,1.0
158,-9506.715854534656,0,0,1.0,-9278.849386702113,0.0,0.0,1.0
159,-6945.589279859291,0,0,1.0,-9135.961807540649,0.0,0.0,1.0
160,-8148.239288337683,0,0,1.0,-9186.88556736604,0.0,0.0,1.0
161,-7334.81041622674,0,0,1.0,-8810.469595742417,0.0,0.0,1.0
162,-9512.836008836965,0,0,1.0,-8731.26638244436,0.0,0.0,1.0
163,-9377.749950504105,0,0,1.0,-8723.04329399145,0.0,0.0,1.0
164,-7106.695272058234,0,0,1.0,-8514.504178447842,0.0,0.0,1.0
165,-8035.115345449214,0,0,1.0,-8587.219662168358,0.0,0.0,1.0
166,-11999.34765228952,0,0,1.0,-8868.817227165579,0.0,0.0,1.0
167,-9065.837747274745,0,0,1.0,-8703.293681537116,0.0,0.0,1.0
168,-10300.567759802245,0,0,1.0,-8782.678872063876,0.0,0.0,1.0
169,-7130.068957823036,0,0,1.0,-8801.12683986025,0.0,0.0,1.0
170,-11126.233208772663,0,0,1.0,-9098.926231903748,0.0,0.0,1.0
171,-10067.233680615349,0,0,1.0,-9372.16855834261,0.0,0.0,1.0
172,-7353.991730385595,0,0,1.0,-9156.28413049747,0.0,0.0,1.0
173,-8540.18471606675,0,0,1.0,-9072.527607053735,0.0,0.0,1.0
174,-6403.348259835198,0,0,1.0,-9002.19290583143,0.0,0.0,1.0
175,-8781.860788156386,0,0,1.0,-9076.867450102149,0.0,0.0,1.0
